Source,Page number,Order,Week,Type,Lexicality,Orthography,Phonology,Flag for discussion,Notes,Mismatch with CMU Transcription,Coder(s),,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, yes/no sentences using sets 1-6 graphemes",100,18,7,Rule example word,Word,fox,fɑks,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, yes/no sentences using sets 1-6 graphemes",100,18,7,Rule example word,Word,legs,lɛgz,Exception but is not taught as such ,"Noted in the footnotes that ""*The sounds represented by f in of, and by s in as, is, has and his should also not cause problems at this stage, especially as children will not learn the letters v and z until several weeks later. "" However ""legs"" was not mentioned to be an exception",0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, yes/no sentences using sets 1-6 graphemes",100,18,7,Rule example phrase,Word sentence,Can a vet fix a jet?,kæn ə vɛt fɪks ə dʒɛt,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, yes/no sentences using sets 1-6 graphemes",100,18,7,Rule example phrase,Word sentence,Will a pen fit in a box?,wɪl ə pɛn fɪt ɪn ə bɑks,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, yes/no sentences using sets 1-6 graphemes",100,18,7,Rule example phrase,Word sentence,Can men jog to get fit?,kæn mɛn dʒɑg tu gɛt fɪt,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, yes/no sentences using sets 1-6 graphemes",100,18,7,Rule example phrase,Word sentence,Has a pot of jam got a lid?,hæz ə pɑt ʌv dʒæm gɑt ə lɪd,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, yes/no sentences using sets 1-6 graphemes",100,18,7,Rule example phrase,Word sentence,Can a taxi hop?,kæn ə tæksi hɑp,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, yes/no sentences using sets 1-6 graphemes",100,18,7,Rule example phrase,Word sentence,Can a van go up a hill?,kæn ə væn goʊ ʌp ə hɪl,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, yes/no sentences using sets 1-6 graphemes",100,18,7,Rule example phrase,Word sentence,Has a cat got a web?,hæz ə kæt gɑt ə wɛb,,,0,SS,,,,,,
"Phase 3, Summary, Letters",74,19,8,Rule,GPC,y,j,,,0,SS,,,,,,
"Phase 3, Summary, Letters",74,19,8,Rule,GPC,z,z,,,0,SS,,,,,,
"Phase 3, Summary, Letters",74,19,8,Rule,GPC,zz,z ,,,0,SS,,,,,,
"Phase 3, Summary, Letters",74,19,8,Rule,GPC,qu,kw,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, words and sentences using sets 1-7 letters, words using sets 1-7 GPCs",100,20,8,Rule example word,Word,yap,jæp,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, words and sentences using sets 1-7 letters, words using sets 1-7 GPCs",100,20,8,Rule example word,Word,yes,jɛs,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, words and sentences using sets 1-7 letters, words using sets 1-7 GPCs",100,20,8,Rule example word,Word,yet,jɛt,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, words and sentences using sets 1-7 letters, words using sets 1-7 GPCs",100,20,8,Rule example word,Word,yell,jɛl,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, words and sentences using sets 1-7 letters, words using sets 1-7 GPCs",100,20,8,Rule example word,Word,zip,zɪp,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, words and sentences using sets 1-7 letters, words using sets 1-7 GPCs",100,20,8,Rule example word,Word,Zak,zæk,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, words and sentences using sets 1-7 letters, words using sets 1-7 GPCs",100,20,8,Rule example word,Word,buzz,bʌz,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, words and sentences using sets 1-7 letters, words using sets 1-7 GPCs",100,20,8,Rule example word,Word,jazz,dʒæz,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, words and sentences using sets 1-7 letters, words using sets 1-7 GPCs",100,20,8,Rule example word,Word,zigzag,zɪgzæg,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, words and sentences using sets 1-7 letters, words using sets 1-7 GPCs",100,20,8,Rule example word,Word,quiz,kwɪz,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, words and sentences using sets 1-7 letters, words using sets 1-7 GPCs",100,20,8,Rule example word,Word,quit,kwɪt,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, words and sentences using sets 1-7 letters, words using sets 1-7 GPCs",100,20,8,Rule example word,Word,quick,kwɪk,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, words and sentences using sets 1-7 letters, words using sets 1-7 GPCs",100,20,8,Rule example word,Word,quack,kwæk,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, words and sentences using sets 1-7 letters, words using sets 1-7 GPCs",100,20,8,Rule example word,Word,liquid,lɪkwɪd,,,1 - lɪkwʌd,SS,,,,,,
"Phase 3, Suggested timetable for Phase Three - discrete teaching",76,21,8,Tricky word,Word,he ,hi,,,0,SS,,,,,,
"Phase 3, Suggested timetable for Phase Three - discrete teaching",76,21,8,Tricky word,Word,she,ʃi,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, yes/no sentences using sets 1-7 GPCs",100,22,8,Rule example phrase,Word sentence,Can a duck quack?,kæn ə dʌk kwæk,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, yes/no sentences using sets 1-7 GPCs",100,22,8,Rule example phrase,Word sentence,Is a zebra a pet?,ɪz ə zibɹə ə pɛt,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, yes/no sentences using sets 1-7 GPCs",100,22,8,Rule example word,Word,zebra,zibɹə,,,1 - zibɹʌ,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, yes/no sentences using sets 1-7 GPCs",100,22,8,Rule example phrase,Word sentence,Can dogs yap?,kæn dɑgz jæp,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, yes/no sentences using sets 1-7 GPCs",100,22,8,Rule example phrase,Word sentence,Can a fox get wet?,kæn ə fɑks gɛt wɛt,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, yes/no sentences using sets 1-7 GPCs",100,22,8,Rule example phrase,Word sentence,Will a box fit in a van?,wɪl ə bɑks fɪt ɪn ə væn,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, yes/no sentences using sets 1-7 GPCs",100,22,8,Rule example phrase,Word sentence,Can a rabbit yell at a man?,kæn ə ɹæbɪt jɛl æt ə mæn,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, yes/no sentences using sets 1-7 GPCs",100,22,8,Rule example phrase,Word sentence,"Can a hen peck?
",kæn ə hɛn pɛk,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, yes/no sentences using sets 1-7 GPCs",100,22,8,Rule example word,Word,peck,pɛk,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, yes/no sentences using sets 1-7 GPCs",100,22,8,Rule example phrase,Word sentence,Is a lemon red?,ɪz ə lɛmən ɹɛd,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, yes/no sentences using sets 1-7 GPCs",100,22,8,Rule example word,Word,lemon,lɛmən,,,1 - lɛmʌn,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, yes/no sentences using sets 1-7 GPCs",100,22,8,Rule example phrase,Word sentence,Is a robin as big as a jet?,ɪz ə ɹɑbɪn æz bɪg æz ə dʒɛt,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, yes/no sentences using sets 1-7 GPCs",100,22,8,Rule example word,Word,robin,ɹɑbɪn,,,1 - ɹɑbʌn,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, yes/no sentences using sets 1-7 GPCs",100,22,8,Rule example phrase,Word sentence,Can a web buzz?,kæn ə wɛb bʌz,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, yes/no sentences using sets 1-7 GPCs",100,22,8,Rule example phrase,Word sentence,She will fill the bucket at the well.,ʃi wɪl fɪl ðə bʌkɪt æt ðə wɛl,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, yes/no sentences using sets 1-7 GPCs",100,22,8,Rule example word,Word,well,wɛl,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, Sentences using words containing sets 1-7 GPCs and he, we, she",101,22,8,Rule example phrase,Word sentence,"If the dog has a bad leg, the vet can fix it.","ɪf ðə dɑg hæz ə bæd lɛg, ðə vɛt kæn fɪks ɪt",,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, Sentences using words containing sets 1-7 GPCs and he, we, she",101,22,8,Rule example phrase,Word sentence,Will Azam and Liz win the quiz? Yes!,wɪl əzɑm ænd lɪz wɪn ðə kwɪz jɛs,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, Sentences using words containing sets 1-7 GPCs and he, we, she",101,22,8,Rule example word,Word,Azam,əzɑm,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, Sentences using words containing sets 1-7 GPCs and he, we, she",101,22,8,Rule example word,Word,Liz,lɪz,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, Sentences using words containing sets 1-7 GPCs and he, we, she",101,22,8,Rule example phrase,Word sentence,He did up the zip on Zinat’s jacket.,hi dɪd ʌp ðə zɪp ɑn Zɪnəts dʒækɪt,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, Sentences using words containing sets 1-7 GPCs and he, we, she",101,22,8,Rule example phrase,Word sentence,The fox and vixen had cubs in a den.,ðə fɑks ænd vɪksn̩ hæd kʌbz ɪn ə dɛn,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, Sentences using words containing sets 1-7 GPCs and he, we, she",101,22,8,Rule example word,Word,cubs,kʌbz,,,0,SS,,,,,,
"Phase 3, Summary, Letters",74,23,9,Rule,GPC,ch,tʃ,,,0,SS,,,,,,
"Phase 3, Summary, Letters",74,23,9,Rule,GPC,sh,ʃ,,,0,SS,,,,,,
"Phase 3, Summary, Letters",74,23,9,Rule,GPC,ng,ŋ,,,0,SS,,,,,,
"Phase 3, Summary, Letters",74,23,9,Rule,GPC,th ,θ,,,0,SS,,,,,,
"Phase 3, Summary, Letters",74,24,9,Rule example word,Word,chip,tʃɪp,,,0,SS,,,,,,
"Phase 3, Summary, Letters",74,24,9,Rule example word,Word,shop,ʃɑp,,,0,SS,,,,,,
"Phase 3, Summary, Letters",74,24,9,Rule example word,Word,thin,θɪn,,,0,SS,,,,,,
"Phase 3, Summary, Letters",74,24,9,Rule example word,Word,then,ðɛn,,Top 100 frequency words,0,SS,,,,,,
"Phase 3, Summary, Letters",74,24,9,Rule example word,Word,ring,ɹɪŋ,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,chop,tʃɑp,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",103,24,9,Rule example word,Word,thing,θɪŋ,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,chin,tʃɪn,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,chug,tʃʌg,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,check,tʃɛk,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,such,sʌtʃ,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,chip,tʃɪp,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,chill,tʃɪl,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,much,mʌtʃ,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,rich,ɹɪtʃ,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,chicken,tʃɪkɪn,,,1 - tʃɪkʌn,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,ship,ʃɪp,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,shed,ʃɛd,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,shell,ʃɛl,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,fish,fɪʃ,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,shock,ʃɑk,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,cash,kæʃ,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,bash,bæʃ,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,hush,hʌʃ,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,rush,ɹʌʃ,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,them,ðɛm,,Top 100 frequency words,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,that,ðæt,,Top 100 frequency words,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,this,ðɪs,,Top 100 frequency words,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,with,wɪð/wɪθ,,Top 100 frequency words,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,moth,mɑθ,,,1 - mɔθ,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,thin,θɪn,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,thick,θɪk,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,path,pæθ,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,bath,bæθ,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,rang,ɹæŋ,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,hang,hæŋ,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,song,sɑŋ,,,1 - sɔŋ,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,wing,wɪŋ,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,rung,ɹʌŋ,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,king,kɪŋ,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,long,lɑŋ,,,1 - lɔŋ,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, words using four consonant digraphs",101,24,9,Rule example word,Word,sing,sɪŋ,,,0,SS,,,,,,
"Phase 3, Suggested timetable for Phase Three - discrete teaching",76,25,9,Tricky word,Word,we,wi,,,0,,,,,,,
"Phase 3, Suggested timetable for Phase Three - discrete teaching",76,25,9,Tricky word,Word,me ,mi,,,0,,,,,,,
"Phase 3, Suggested timetable for Phase Three - discrete teaching",76,25,9,Tricky word,Word,be ,bi,,,0,,,,,,,
"Phase 3, Practising reading and writing captions and sentences",95,26,9,Rule example phrase,Word phrase,sing songs,sɪŋ sɑŋz ,,,0,SS,,,,,,
"Phase 3, Practising reading and writing captions and sentences",95,26,9,Rule example word,Word,songs,sɑŋz,Is an exception but is not taught as such,"Noted in the footnotes that ""*The sounds represented by f in of, and by s in as, is, has and his should also not cause problems at this stage, especially as children will not learn the letters v and z until several weeks later. "". However, now that they have learnt /z/, this may pose a problem. ",1 - sɔŋz,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, Words and sentences using Phase Three graphemes, captions",103,26,9,Rule example phrase,Word phrase,fish and chips on a dish,fɪʃ ænd tʃɪps ɑn ə dɪʃ ,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, Words and sentences using Phase Three graphemes, captions",103,26,9,Rule example word,Word,chips,tʃɪps,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, Words and sentences using Phase Three graphemes, captions",103,26,9,Rule example word,Word,dish,dɪʃ,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, Sentences using words containing sets 1-7 GPCs and he, we, she",101,26,9,Rule example sentence,Word sentence,"We can get the big bed into the van.
 ",wi kæn gɛt ðə bɪg bɛd ɪntu ðə væn,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences for use in Phase Three, Words and sentences using sets 1-7 letters, Sentences using words containing sets 1-7 GPCs and he, we, she",101,26,9,Rule example word,Word,into,ɪntu,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, sentences with 1-7 letters plus the four consonant digraphs and some tricky words",101,26,9,Rule example sentence,Word sentence,I am in such a rush to get to the shops.,aɪ æm ɪn sʌtʃ ə ɹʌʃ tu gɛt tu ðə ʃɑps,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, sentences with 1-7 letters plus the four consonant digraphs and some tricky words",101,26,9,Rule example sentence,Word,shops,ʃɑps,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, sentences with 1-7 letters plus the four consonant digraphs and some tricky words",101,26,9,Rule example sentence,Word sentence,A man is rich if he has lots of cash.,ə mæn ɪz ɹɪtʃ ɪf hi hæz lɑts ʌv kæʃ,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, sentences with 1-7 letters plus the four consonant digraphs and some tricky words",101,26,9,Rule example word,Word,lots  ,lɑts,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, sentences with 1-7 letters plus the four consonant digraphs and some tricky words",101,26,9,Rule example sentence,Word sentence,Natasha sang a song to me.,nətæʃə sæŋ ə sɑŋ tu mi,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, sentences with 1-7 letters plus the four consonant digraphs and some tricky words",101,26,9,Rule example word,Word,Natasha  ,nətæʃə ,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, sentences with 1-7 letters plus the four consonant digraphs and some tricky words",101,26,9,Rule example word,Word,sang,sæŋ,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, sentences with 1-7 letters plus the four consonant digraphs and some tricky words",101,26,9,Rule example sentence,Word sentence,The van will chug up the long hill.,ðə væn wɪl tʃʌg ʌp ðə lɑŋ hɪl,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, sentences with 1-7 letters plus the four consonant digraphs and some tricky words",101,26,9,Rule example sentence,Word sentence,Sasha had a quick chat with Kath and me.,sɑʃə hæd ə kwɪk tʃæt wɪð kæθ ænd mi,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, sentences with 1-7 letters plus the four consonant digraphs and some tricky words",101,26,9,Rule example word,Word,Sasha ,sɑʃə ,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, sentences with 1-7 letters plus the four consonant digraphs and some tricky words",101,26,9,Rule example word,Word,chat,tʃæt,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, sentences with 1-7 letters plus the four consonant digraphs and some tricky words",101,26,9,Rule example word,Word,Kath, kæθ,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, sentences with 1-7 letters plus the four consonant digraphs and some tricky words",101,26,9,Rule example sentence,Word sentence,"A moth can be fat, but its wings are thin.",ə mɑθ kæn bi fæt bʌt ɪts wɪŋz ɑɹ θɪn,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, sentences with 1-7 letters plus the four consonant digraphs and some tricky words",101,26,9,Rule example word,Word,its,ɪts,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, sentences with 1-7 letters plus the four consonant digraphs and some tricky words",101,26,9,Rule example word,Word,wings,wɪŋz,Is an exception but is not taught as such,"Noted in the footnotes that ""*The sounds represented by f in of, and by s in as, is, has and his should also not cause problems at this stage, especially as children will not learn the letters v and z until several weeks later. "". However, now that they have learnt /z/, this may pose a problem. ",0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, sentences with 1-7 letters plus the four consonant digraphs and some tricky words",101,26,9,Rule example word,Word,are,ɑɹ,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, sentences with 1-7 letters plus the four consonant digraphs and some tricky words",101,26,9,Rule example sentence,Word sentence,The ship hit the rocks with a thud.,ðə ʃɪp hɪt ðə ɹɑks wɪð ə θʌd,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, sentences with 1-7 letters plus the four consonant digraphs and some tricky words",101,26,9,Rule example word,Word,rocks,ɹɑks,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, sentences with 1-7 letters plus the four consonant digraphs and some tricky words",101,26,9,Rule example word,Word,thud,θʌd,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, sentences with 1-7 letters plus the four consonant digraphs and some tricky words",101,26,9,Rule example sentence,Word sentence,Lots of shops sell chicken as well as fish and chips.,lɑts ʌv ʃɑps sɛl tʃɪkɪn æz wɛl æz fɪʃ ænd tʃɪps,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, sentences with 1-7 letters plus the four consonant digraphs and some tricky words",101,26,9,Rule example sentence,Word sentence,Josh had a shock as he got a bash on the chin.,dʒɑʃ hæd ə ʃɑk æz hi gɑt ə bæʃ ɑn ðə tʃɪn,,,0,SS,,,,,,
"Phase 3, Bank of suggested words, captions, and sentences, words and sentences using Phase Three graphemes, sentences with 1-7 letters plus the four consonant digraphs and some tricky words",101,26,9,Rule example word,Word,Josh  ,dʒɑʃ,,,0,SS,,,,,,
"Phase 3, Summary, Letters",74,27,10,Rule,GPC,ai,eɪ,"The order for vowel digraphs is not clear (it was mentioned that they can be taught in any order), so picked 4 digraphs for each week in order of how it was listed",,0,SS,,,,,,
"Phase 3, Summary, Letters",74,27,10,Rule,GPC,ee,i ,,,0,SS,,,,,,
"Phase 3, Summary, Letters",74,27,10,Rule,GPC,igh,aɪ,,,0,SS,,,,,,
"Phase 3, Summary, Letters",74,27,10,Rule,GPC,oa,oʊ,,,0,SS,,,,,,
"Phase 3, Summary, Letters",74,28,10,Rule example word,Word,rain,ɹeɪn,,,0,SS,,,,,,
"Phase 3, Summary, Letters",74,28,10,Rule example word,Word,feet,fit,,,0,SS,,,,,,
"Phase 3, Summary, Letters",74,28,10,Rule example word,Word,night,naɪt,,,0,SS,,,,,,
"Phase 3, Summary, Letters",74,28,10,Rule example word,Word,boat,boʊt,,,0,SS,,,,,,
